threshold,XGBoost,LightGBM,CatBoost,HistGradientBoosting,Treat_All,Treat_None
0.05,0.1946532371826053,0.1960577998832571,0.19631287090183872,0.19021852806693257,0.19145831306547328,0.0
0.05454545454545455,0.19122396203611547,0.19350750479880563,0.1934353005474193,0.18663043864638135,0.1875710934167496,0.0
0.0590909090909091,0.1878409156866422,0.19071064052077474,0.19105032838633057,0.18299897532749337,0.18364631609026047,0.0
0.06363636363636364,0.18423922796690775,0.18772045430073758,0.1865871139385891,0.17942720016869154,0.17968343412953358,0.0
0.06818181818181818,0.1824821919660971,0.18470453315900998,0.18365859293990353,0.17574768382850187,0.1756818899057752,0.0
0.07272727272727272,0.17859186419484616,0.1817252455510855,0.17933599271501577,0.17202552462759596,0.17164111485629371,0.0
0.07727272727272727,0.17690619223659892,0.17875681209764804,0.1737664810649864,0.16830715674312302,0.1675605292151917,0.0
0.08181818181818182,0.17398685282114165,0.17591100318442196,0.1709203597115719,0.1651327528778756,0.163439541736059,0.0
0.08636363636363636,0.16800798456883786,0.17334356981267413,0.16813512152729881,0.16179088959086269,0.15927754940638764,0.0
0.09090909090909091,0.16618703789279113,0.17001039741219962,0.16526224584103513,0.1579898336414048,0.15507393715341958,0.0
0.09545454545454546,0.1632797188344681,0.16791251776442284,0.16258185567393346,0.15415675884041277,0.1508280775411252,0.0
0.1,0.1595091394536866,0.16783669644690902,0.15934162559047033,0.15293951530088312,0.14653933045799958,0.0
0.10454545454545455,0.15672008266323878,0.16897389915272526,0.15686924125280316,0.15301375414019908,0.14220704279534985,0.0
0.1090909090909091,0.15319655588667996,0.16694801765438153,0.15363602927307707,0.1466708240597533,0.13783054811573425,0.0
0.11363636363636363,0.14826146973790227,0.16469249135030095,0.1505169083842836,0.1435236859566804,0.1334091663111996,0.0
0.11818181818181818,0.14665496312670312,0.16387244650037158,0.1489971797168283,0.1399089720258399,0.12894220325094802,0.0
0.12272727272727273,0.1484558316493157,0.16326229731929934,0.146804067740607,0.13622157322364076,0.12442895041805138,0.0
0.12727272727272726,0.1469823436537277,0.16150562711799138,0.14373026417128776,0.1325518426524954,0.11986868453481209,0.0
0.13181818181818183,0.14572036707280484,0.15988637243421625,0.14098029028074827,0.12904059527150613,0.11526066717635557,0.0
0.13636363636363635,0.1423430051561436,0.15866572623796088,0.1398959650744236,0.13029234361319195,0.11060414437202062,0.0
0.14090909090909093,0.1426660957564377,0.1568620169879412,0.1388604656280257,0.13120024401216634,0.1058983461940948,0.0
0.14545454545454545,0.13919209894993512,0.1553273832933496,0.13359580858929485,0.13043590474692257,0.1011424863334251,0.0
0.15,0.14228382896596714,0.15346648363596824,0.13136246873980645,0.13120175057083833,0.0963357616614113,0.0
0.15454545454545454,0.1401012784966112,0.15245550354779083,0.12835226482221296,0.12973566722318286,0.09147735177787053,0.0
0.1590909090909091,0.13869398511265424,0.15516030124394264,0.12692758030673928,0.1271055540290753,0.08656641854423741,0.0
0.16363636363636364,0.13801095495459295,0.15353662701920762,0.125247252471269,0.1254007022020413,0.08160210560154305,0.0
0.16818181818181818,0.13705632657596234,0.1526977717846934,0.12230551094411281,0.12304930153631707,0.0765835378725897,0.0
0.17272727272727273,0.1347524298714225,0.15101422376145113,0.11953691525664724,0.12520394923930045,0.07150982104771383,0.0
0.17727272727272725,0.13506994796826013,0.15194021200763883,0.11774552317684665,0.12566740663391918,0.06638004105350231,0.0
0.18181818181818182,0.13300536557814746,0.15074001334976384,0.11492927192441979,0.12419516327788045,0.06119326350379953,0.0
0.18636363636363634,0.1289257169115749,0.14914181011782446,0.11170886729520134,0.12314440721197041,0.055948533132312434,0.0
0.19090909090909092,0.12708863372032647,0.14818707294024797,0.10932424609026148,0.11991526303765394,0.0506448732060894,0.0
0.19545454545454544,0.1243165316895893,0.14496133441941583,0.10847013795336112,0.11980259928778052,0.0452812849191182,0.0
0.2,0.12956475277264323,0.14337598197781887,0.10559871765249537,0.11896083641404807,0.03985674676524953,0.0
0.20454545454545453,0.1272910615262741,0.14129043438077635,0.1029259638236071,0.11760843015579614,0.034370213889622414,0.0
0.2090909090909091,0.11985540559202837,0.14134929993413645,0.10194516593366902,0.11895967450655448,0.028820617417723654,0.0
0.21363636363636362,0.11480926725289287,0.13619244361223595,0.10031636313613199,0.11944419588003376,0.023206863761178725,0.0
0.2181818181818182,0.11367501504535098,0.13474186476378797,0.0974640523578214,0.11810022890426856,0.01752783389932505,0.0
0.22272727272727272,0.11342144447687302,0.13410861275956373,0.09429456361946145,0.1179568510771692,0.011782382635578487,0.0
0.2272727272727273,0.11450099217136023,0.1329207214309014,0.0911224448189627,0.11933375013591387,0.0059693378275524345,0.0
0.2318181818181818,0.1133942731518446,0.13211956135361863,0.08503801447024467,0.12163817005545287,8.74995898456632e-05,0.0
0.23636363636363633,0.11713620059853888,0.13100450554528653,0.08239976674588506,0.12108199102191711,-0.005864360531643326,0.0
0.2409090909090909,0.10994848334753783,0.13006761430927424,0.07902437961415432,0.12110325329009264,-0.011887500415066365,0.0
0.24545454545454543,0.11115188573146563,0.1280491420395074,0.07568641015076946,0.11845032625882461,-0.01798320824889202,0.0
0.25,0.1100854898336414,0.1215149414664202,0.07598390326555762,0.11829366913123845,-0.024152803450400467,0.0
0.2545454545454545,0.10920466840990037,0.1209199314728822,0.07827067647987018,0.11518303953834363,-0.030397637617780998,0.0
0.2590909090909091,0.10793881757254799,0.11625738521030132,0.07924585804520146,0.1114979998979395,-0.03671909551727656,0.0
0.2636363636363636,0.10879066258186715,0.1167960281600146,0.07632071381301203,0.109538092467082,-0.04311859610688937,0.0
0.2681818181818182,0.10748602915006716,0.1148154513151399,0.07511287183844043,0.10459567054339214,-0.04959759359823654,0.0
0.2727272727272727,0.10743198359519411,0.11408127310536045,0.073485154805915,0.09827720656192238,-0.05615757855822548,0.0
0.2772727272727273,0.10362463525500179,0.11324583812878551,0.07510172171264487,0.09631803729408617,-0.06280007905230242,0.0
0.2818181818181818,0.10529295549732096,0.10771360759493673,0.08005948899131943,0.09429151360584012,-0.06952666183111442,0.0
0.2863636363636364,0.10528932473480344,0.10293287230535572,0.07666645572600869,0.09180101869621014,-0.07633893356252283,0.0
0.2909090909090909,0.10458582160291956,0.10059807336840608,0.0763584767050571,0.08788331200530833,-0.08323854211100054,0.0
0.29545454545454547,0.10407902778605926,0.09971211466221452,0.0751509301770914,0.08508530350008943,-0.0902271778665554,0.0
0.3,0.10214054660681278,0.09910301689992077,0.07553885001320305,0.09029327303934512,-0.09730657512542915,0.0
0.3045454545454545,0.09877164051079461,0.09258031000447008,0.07344790118758536,0.0913148007200416,-0.10447851352494161,0.0
0.3090909090909091,0.0999334200797743,0.09169286287576614,0.07698736501605215,0.0844929589454227,-0.11174481953497425,0.0
0.3136363636363636,0.09666831413497204,0.08722916233122376,0.07810617907725455,0.08241441070619775,-0.11910736800871577,0.0
0.3181818181818182,0.09602164202094886,0.08643638324091191,0.07602433764633396,0.08369839802834259,-0.12656808379544052,0.0
0.3227272727272727,0.09356942152861344,0.0854107094121004,0.07583605738813284,0.08330180252825366,-0.13412894341822876,0.0
0.32727272727272727,0.09407581680571515,0.08764128615676675,0.07494114377778888,0.08050157366238699,-0.14179197681970326,0.0
0.3318181818181818,0.08735398040916922,0.08709891766318359,0.07319306650571507,0.07992175613313718,-0.14955926917902093,0.0
0.33636363636363636,0.0871235092294837,0.0862591946674094,0.07281092535386018,0.08123733952852405,-0.15743296280353483,0.0
0.3409090909090909,0.08411785327299384,0.0868287494422844,0.06919736758238257,0.07794712856141245,-0.16541525909873153,0.0
0.3454545454545454,0.08304692313616761,0.08678774517354694,0.06726146924419803,0.07434406448962828,-0.1735084206202505,0.0
0.35,0.08195515782738519,0.08906316650078204,0.06561033698279539,0.0683812029006114,-0.18171477321200055,0.0
0.3545454545454545,0.08375579261149152,0.08785715680404053,0.06552460558173441,0.07155209445211007,-0.19003670823462024,0.0
0.35909090909090907,0.08327180097271929,0.08747292084529568,0.06267111895491667,0.06743504280227056,-0.1984766848887666,0.0
0.3636363636363636,0.08651389622392397,0.08590573012939003,0.058209829680485894,0.06923191180353845,-0.20703723263797194,0.0
0.36818181818181817,0.08532165487572975,0.08432617122568122,0.05627393648851717,0.0690228177901302,-0.21572095373608688,0.0
0.3727272727272727,0.08171093519783548,0.08224026561118702,0.053214575129256106,0.07146563328779233,-0.22453052586460923,0.0
0.37727272727272726,0.08558415242117193,0.08032839969237826,0.050042795512500515,0.07616614609333891,-0.23346870488551882,0.0
0.3818181818181818,0.08857405947591607,0.07894014352506254,0.048410317223007496,0.07549302761770144,-0.24253832771555936,0.0
0.38636363636363635,0.07973831039912371,0.07756191380844799,0.048067493325118074,0.07457961080303963,-0.2517423153282673,0.0
0.3909090909090909,0.07931156371561784,0.07617958037906586,0.045657313019008494,0.07132547176318041,-0.2610836758904185,0.0
0.39545454545454545,0.07823831181465679,0.07340082241185217,0.044909958584075704,0.07095578016205023,-0.2705655080399706,0.0
0.39999999999999997,0.07778419593345656,0.08111136783733829,0.04862908194701174,0.07154574861367838,-0.2801910043130006,0.0
0.40454545454545454,0.08147532135852464,0.08070045399387621,0.05146988013432856,0.07045957620183149,-0.28996345472760376,0.0
0.40909090909090906,0.08305666145314944,0.08129621072088725,0.048046264040949846,0.06983506327314092,-0.2998862505332006,0.0
0.41363636363636364,0.08207512107925319,0.07180344502715329,0.05010124267434697,0.0700604232042299,-0.3099628881342332,0.0
0.41818181818181815,0.0801631455060074,0.06736674705406655,0.04905953962569315,0.07700836125231053,-0.32019697319778195,0.0
0.4227272727272727,0.07711614173228347,0.06427410962492905,0.04722903961750624,0.07744602988050708,-0.33059222495524465,0.0
0.42727272727272725,0.07427062245107532,0.06314438283014992,0.045181340404307144,0.07606724760144354,-0.34115248070885773,0.0
0.43181818181818177,0.0744623382624769,0.06236598890942699,0.04670055452865067,0.07479898336414048,-0.3518817005545286,0.0
0.43636363636363634,0.0759126617375231,0.061204795480293374,0.048535418281557455,0.0697081271242025,-0.36278397233319415,0.0
0.44090909090909086,0.07890048540041777,0.06025215837879267,0.051457093533504666,0.06418547029740168,-0.373863516823708,0.0
0.44545454545454544,0.07914438198842459,0.061660915578315816,0.0503016954031696,0.06075279915760128,-0.3851246931911154,0.0
0.44999999999999996,0.07859550915812469,0.06403125525121829,0.04560683078474209,0.0606027348344816,-0.39657200470509146,0.0
0.45454545454545453,0.07879986906962415,0.06502329790511399,0.04882355206407886,0.05926332409118916,-0.40821010474430075,0.0
0.45909090909090905,0.07830023183025521,0.06498203024278104,0.04675612389133105,0.056792442023019946,-0.4200438031034963,0.0
0.4636363636363636,0.07180343212506657,0.06501916961684265,0.04558109981515712,0.05785102525141766,-0.4320780726213227,0.0
0.46818181818181814,0.07232224670995466,0.06434561472107683,0.04275992543090511,0.05818862860799091,-0.4443180561480007,0.0
0.4727272727272727,0.07346807476575946,0.06573933169736759,0.04288972369175857,0.05739331697367582,-0.4567690738734145,0.0
0.47727272727272724,0.0736189524230491,0.06456818090492647,0.04218611870127782,0.05955281081732701,-0.4694366310375312,0.0
0.4818181818181818,0.07413821059117294,0.06755754045464864,0.04487618364302623,0.05842119450659922,-0.48232642604663234,0.0
0.48636363636363633,0.07404163872213045,0.06749392717517544,0.04772524659349288,0.05806116377406638,-0.4954443590204963,0.0
0.49090909090909085,0.0706015233034064,0.067459813176657,0.043715135661473475,0.057980839054660685,-0.508796540797465,0.0
0.4954545454545454,0.06992218072971308,0.06651570123728165,0.043597421358511954,0.05606744683685535,-0.5223893024262709,0.0
0.5,0.06976663585951941,0.06585605360443623,0.04127772643253236,0.0525184842883549,-0.5362292051756008,0.0
